sec_id,delist_date,ticker,payout_per_share,confidence,source,accession
BBG000C3Y7J6,2017-04-23,BEAV,,none,none,
BBG000C42VL3,2023-07-30,LSI,,none,none,
BBG000C44LH8,2015-11-12,CYN,,high,llm_election_stock,0001214659-15-007366
BBG000C4DPX1,2016-02-08,AVGO,,none,none,
BBG000C4FB79,2012-03-16,TRH,,none,none,
BBG000C4H302,2010-05-09,BJS,,none,none,
BBG000C4HKK2,2025-09-22,SKX,63.000000,high,llm_election_cash,0001193125-25-201846
BBG000C4VW39,2018-06-17,OA,134.500000,high,8K_2.01,0001104659-18-038649
BBG000C4WJT9,2017-07-22,KATE,18.500000,high,8K_2.01,0001567619-17-001421
BBG000C4XD11,2008-12-18,AW,,none,none,
BBG000C4XG05,2010-06-13,CXG,,none,none,
BBG000C4ZFV1,2015-07-12,MWV,,none,none,
BBG000C60K98,2021-12-10,CVA,20.250000,high,8K_2.01,0001193125-21-343811
BBG000C6F3T8,2015-04-17,IGT,,none,none,
BBG000C6GN04,2022-06-06,QDEL,,none,none,
BBG000C6W266,2014-12-14,CNQR,129.000000,high,8K_2.01,0001193125-14-433565
BBG000C75N77,2026-02-12,CMA,,none,none,
BBG000C89QJ1,2017-10-06,CAB,61.500000,high,8K_2.01,0001193125-17-292861
BBG000C8FRK0,2011-10-24,CEPH,81.500000,high,8K_2.01,0001104659-11-056145
BBG000C8H633,2024-12-02,MRO,,none,none,
BBG000C90DH9,2025-12-08,IPG,,none,none,
BBG000CB2ZY4,2011-02-28,KG,14.250000,medium,8K_1.01,0000950123-10-092734
BBG000CCFBC5,2012-08-23,LNCR,41.500000,high,llm,0001193125-12-352722
BBG000CF2GH6,2017-02-26,ARIA,24.000000,high,8K_2.01,0001193125-17-046700
BBG000CG0HP5,2008-01-05,HCR,67.000000,medium,8K_1.01,0000950152-07-005613
BBG000CGQ485,2008-12-04,IMCL,70.000000,medium,8K_1.01,0000950137-08-014111
BBG000CGQ6M4,2018-11-10,PX,,none,none,
BBG000CH11X8,2011-06-16,WTNY,,none,none,
BBG000CKJ0P3,2014-02-14,LIFE,76.000000,medium,8K_1.01,0001193125-13-157070
BBG000CKRZF8,2008-05-02,GRP,,none,none,
BBG000CLVM51,2020-02-03,WCG,,none,none,
BBG000CN5CJ3,2021-05-02,RP,88.750000,high,8K_2.01,0001193125-21-125818
BBG000CNM3Q6,2012-08-18,AMLN,31.000000,high,8K_2.01,0001193125-12-352731
BBG000CP95B7,2013-01-07,AGP,92.000000,high,8K_2.01,0001193125-12-514045
BBG000CPQZ77,2017-09-07,WFM,42.000000,high,8K_2.01,0001144204-17-045261
BBG000CQB684,2011-12-12,NLC,38.800000,high,8K_2.01,0000950157-11-000935
BBG000CRTLP1,2019-03-18,NTRI,,none,none,
BBG000CT56K1,2014-02-08,HMA,,none,none,
BBG000CVWGS6,2023-10-23,ATVI,95.000000,high,8K_2.01,0001104659-23-108985
BBG000CWL0F5,2026-04-02,EXAS,105.000000,high,8K_2.01,0001193125-26-118700
BBG000CYNBV7,2016-04-03,HNT,,none,none,
BBG000D0BMV9,2014-11-10,TWTC,,none,none,
BBG000D1QCF1,2017-01-27,FTI,,none,none,
BBG000D2H038,2016-03-14,SLH,55.850000,high,8K_2.01,0001193125-16-493130
BBG000D3MB18,2013-06-17,VMED,,none,none,
BBG000D6L294,2021-10-11,XEC,,none,none,
BBG000D7DN13,2013-07-20,CLWR,5.000000,high,8K_2.01,0001193125-13-286122
BBG000D9V7T4,2020-10-29,AAN,,none,none,
BBG000DBTPX7,2015-12-25,AWAY,,none,none,
BBG000DBVBY4,2021-03-11,EV,73.000000,high,llm_election_cash,0000950103-21-003212
BBG000DDXVZ3,2018-04-27,DST,84.000000,high,8K_2.01,0001144204-18-020618
BBG000DFMXT3,2022-05-26,AZPN,87.690000,high,8K_2.01,0001140361-22-019468
BBG000DGM399,2008-04-10,CBH,,none,none,
BBG000DGPR66,2023-11-11,BG,,none,none,
BBG000DHNDK1,2015-07-03,AOL,50.000000,high,8K_2.01,0001193125-15-231372
BBG000DM12W5,2014-12-04,BYI,83.300000,high,8K_2.01,0001104659-14-083450
BBG000DNTSP4,2017-03-09,SE,,none,none,
BBG000DQV538,2017-04-09,ENH,93.000000,high,8K_2.01,0001193125-17-099864
BBG000DQV8M1,2010-12-17,MIR,,none,none,
BBG000DST2V3,2012-06-04,EP,,none,none,
BBG000DTRKK5,2008-11-09,DRS,81.000000,medium,8K_1.01,0001341004-08-002732
BBG000DW4937,2013-11-15,SKS,16.000000,high,8K_2.01,0001193125-13-425410
BBG000DWMRV6,2016-08-08,FNFG,,none,none,
BBG000DXVB85,2012-08-11,GPRO,82.750000,high,8K_2.01,0001193125-12-329085
BBG000DZK6N6,2023-10-21,NATI,60.000000,high,8K_2.01,0001140361-23-047693
BBG000DZMH32,2009-10-26,WYE,,none,none,
BBG000F0PF65,2018-06-25,TWX,,none,none,
BBG000F15NW9,2017-01-14,STJ,,none,none,
BBG000F4VS53,2009-03-09,EYE,22.000000,high,8K_2.01,0001193125-09-041201
BBG000F4W0M4,2024-07-12,SIX,,none,none,
BBG000F5YH15,2023-09-22,WWE,,none,none,
BBG000F64MM2,2016-08-11,CTCM,2.210000,low,PRE14A,0001047469-15-007975
BBG000F9KJN4,2016-11-13,RAX,32.000000,high,8K_2.01,0001193125-16-758946
BBG000FBR384,2014-05-10,BEAM,83.500000,medium,8K_1.01,0001193125-14-172826
BBG000FBRL11,2025-12-29,PGRE,6.600000,high,8K_2.01,0001193125-25-326808
BBG000FBWYH0,2026-07-06,PRA,25.000000,high,8K_2.01,0001127703-26-000032
BBG000FC9SM1,2017-11-17,BXS,,none,none,
